comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@old_school_death_metal,2022-06-09T20:07:00+00:00,"5 days, 5:30:29",Der Kodex :-) Einfach nur großartig! Danke für das tolle Konzert @ Rockpalast und @ AtlanteanKodex
ct_2,@franciskocher200,2022-06-08T20:26:13+00:00,"4 days, 5:49:42",VERY GOOD...
ct_3,@Bardauk,2022-06-07T20:43:58+00:00,"3 days, 6:07:27",Schülerbandniveau.
ct_4,@EndosFilme,2022-06-07T16:47:17+00:00,"3 days, 2:10:46",Hammergeiles Konzert gewesen ^^wenn ich einen Album bkommen werde ich mir eins kaufen ^^
ct_5,@palerider3975,2022-06-06T13:31:47+00:00,"1 day, 22:55:16",Epische Meisterwerke 🌬️ grandiose Live Band 🏳️ Kodex forever 😎
ct_6,@DukeCronenwerth,2022-06-06T06:33:17+00:00,"1 day, 15:56:46",Gibt es keine Konzerte mehr in HD?
ct_7,@heavymania1,2022-06-06T03:44:29+00:00,"1 day, 13:07:58",amazing!
ct_8,@PabloLink74,2022-06-05T16:30:05+00:00,"1 day, 1:53:34",Which is the last song? I've only listened to their last two albums
ct_9,@TheKarsten75,2022-06-05T09:42:13+00:00,19:05:42,KODEX 3x live gesehen und noch 3 Tickets für dieses Jahr in der Tasche !!!
ct_10,@gulliewer,2022-06-05T07:05:23+00:00,16:28:52,"Trotz paar schiefen Töne, einer der interessanteren Auftritte , und vor allem kein dummes gegröle und Dudelsäcke 🤪 🤟"
ct_11,@FI5CH3R,2022-06-05T06:56:17+00:00,16:19:46,Überragendes Konzert! Beim nächsten Mal dann am Abend-Slot mit mehr Zeit 🤘🤘🤘
ct_12,@marcolux2295,2022-06-05T03:14:28+00:00,12:37:57,Weltklasse
ct_13,@GuitarsZnuff,2022-06-05T01:59:11+00:00,11:22:40,Singer is wearing a King's X shirt. That's cool.
ct_14,@dieterkurek6381,2022-06-04T23:06:56+00:00,8:30:25,Großartig! Hätten einen Platz weiter vorne im Programm verdient
ct_15,@Matze.1893,2022-06-04T20:08:47+00:00,5:32:16,wie immer der Hammer
ct_16,@dietmarfeldtner2227,2022-06-04T19:38:07+00:00,5:01:36,Tschüss
ct_17,@dietmarfeldtner2227,2022-06-04T19:37:19+00:00,5:00:48,Wir sind kein Bundesstaat der kackamis
ct_18,@dietmarfeldtner2227,2022-06-04T19:36:23+00:00,4:59:52,Jetzt singt der noch das verkackte english.
ct_19,@dietmarfeldtner2227,2022-06-04T19:35:43+00:00,4:59:12,"Was wollen die denn mitteilen,weiss das jemand?"
ct_20,@ungolhammer5574,2022-06-04T18:25:36+00:00,3:49:05,HAMMER
ct_21,@bottishg,2022-06-04T15:11:14+00:00,0:34:43,Geilste Band überhaupt 👌🏻🤘🏻
