comment_id,message,plu_pro,sin_pro,word_count,char_count,allcaps_c,emoji_count,emoji_categories,clarity_mean,arousal_mean,valence_mean,familarity_mean,complexity_mean
ct_1,"i'm from argentina and just found out that they are coming here to play in november, as i didn't think they would come i bought a ticket to go to the us (detroit) to see the show",1,3,37,178,1,0,[],[],[],[],[],[]
ct_2,already bought the ticket (but of course it was not the only reason to travel),0,0,15,78,0,0,[],[],[],[],[],[]
ct_6,wainting for,0,0,2,12,0,0,[],[],[],[],[],[]
ct_7,can't wait,0,0,2,10,0,0,[],[],[],[],[],[]
ct_8,berlin concert was fantastic. :musical_keyboard::dizzy::thumbs_up:,0,0,5,66,0,3,"['emotion', 'hand-fingers-closed', 'musical-instrument']",[],[],[],[],[]
ct_9,hope they gonna play again in france cause tickets were sold waaaay to fast,0,0,14,75,0,0,[],[],[],[],[],[]
ct_12,they forgot to add wales to their gigs,0,0,8,38,0,0,[],[],[],[],[],[]
ct_14,i will see them in cdmx,0,1,6,23,0,0,[],[],[],[],[],[]
ct_16,*would be listening to air forever ,0,0,6,35,0,0,[],[],[],[],[],[]
ct_17,cant wait :blue_heart:,0,0,3,22,0,1,['emotion'],[],[],[],[],[]
ct_21,:red_heart::red_heart::red_heart:,0,0,1,33,0,3,"['emotion', 'emotion', 'emotion']",[],[],[],[],[]
ct_22,greetings from chile!,0,0,3,21,0,0,[],[],[],[],[],[]
ct_27,uk here ms is my fave album,0,1,7,27,1,0,[],[],[],[],[],[]
ct_28,greetings from malta,0,0,3,20,0,0,[],[],[],[],[],[]
ct_30,kelly?,0,0,1,6,0,0,[],[],[],[],[],[]
ct_34,come on then,0,0,3,12,0,0,[],[],[],[],[],[]
ct_35,greetings from chileeee ,0,0,3,24,0,0,[],[],[],[],[],[]
ct_36,merci @arte pour cette dinguerie :smiling_face_with_heart_eyes:,0,0,6,63,0,1,['face-affection'],[78.142857],[49.642857],[91.464286],[88.214286],[41.821429]
ct_38,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::star_struck::star_struck:,0,0,1,86,0,4,"['face-affection', 'face-affection', 'face-affection', 'face-affection']","[78.142857, 78.142857, 58.615385, 58.615385]","[49.642857, 49.642857, 70.961538, 70.961538]","[91.464286, 91.464286, 88.807692, 88.807692]","[88.214286, 88.214286, 48.807692, 48.807692]","[41.821429, 41.821429, 62.576923, 62.576923]"
ct_40,hi from philadelphia!,0,0,3,21,0,0,[],[],[],[],[],[]
ct_44,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,0,0,1,90,0,3,"['face-affection', 'face-affection', 'face-affection']","[78.142857, 78.142857, 78.142857]","[49.642857, 49.642857, 49.642857]","[91.464286, 91.464286, 91.464286]","[88.214286, 88.214286, 88.214286]","[41.821429, 41.821429, 41.821429]"
ct_51,:face-red-heart-shape:,0,0,1,22,0,0,[],[],[],[],[],[]
ct_52,:raising_hands_medium_skin_tone::raising_hands_medium_skin_tone:,0,0,1,64,0,2,[],[],[],[],[],[]
ct_54,:washhands::washhands::washhands:,0,0,1,33,0,3,[],[],[],[],[],[]
ct_57,glad to see this here as missed out seeing them in person,0,0,12,57,0,0,[],[],[],[],[],[]
ct_62,see you in la at the end of the month :dizzy: ,0,0,11,46,1,1,['emotion'],[],[],[],[],[]
ct_63,"ducking brilliant, that bass!!",0,0,4,30,0,0,[],[],[],[],[],[]
ct_65,air :wind_face:los amo!,0,0,3,23,0,1,['sky & weather'],[],[],[],[],[]
ct_66,goozebumps my fave track,0,1,4,24,0,0,[],[],[],[],[],[]
ct_67,great song to start with :two_hearts:,0,0,6,37,0,1,['emotion'],[],[],[],[],[]
ct_69,"well, the album starts with that track too",0,0,8,42,0,0,[],[],[],[],[],[]
ct_70,the concert consists of all 11 moon safari songs,0,0,9,48,0,0,[],[],[],[],[],[]
ct_71,@tloves max yeah because it's the first one on the lp,0,0,11,53,1,0,[],[],[],[],[],[]
ct_73,take me back to 1996,0,1,5,20,0,0,[],[],[],[],[],[]
ct_74,top,0,0,1,3,0,0,[],[],[],[],[],[]
ct_75,:eyes-pink-heart-shape:,0,0,1,23,0,0,[],[],[],[],[],[]
ct_76,the san francisco fan video of this song is immaculate,0,0,10,54,0,0,[],[],[],[],[],[]
ct_77,i truly needed this ,0,1,4,20,0,0,[],[],[],[],[],[]
